Time_Sol, P_Sol
1980.0, 36098.512449975075
1980.5, 31301.438962225053
1981.0, 26680.778795158672
1981.5, 22227.63102257852
1982.0, 17926.2523910745
1982.5, 13768.985395427742
1983.0, 9770.433158635344
1983.5, 5922.587734644716
1984.0, 2356.382255804674
1984.5, -942.3934087101879
1985.0, -4205.975109539744
1985.5, -7436.138556547048
1986.0, -10525.198520567552
1986.5, -13480.274371518106
1987.0, -16410.20619444717
1987.5, -19316.26263016281
1988.0, -22141.3169259036
1988.5, -24889.456041015736
1989.0, -27462.48080487345
1989.5, -29869.226604230986
1990.0, -32125.37445984227
1990.5, -34238.52278421801
1991.0, -36194.01234317273
1991.5, -37999.79780265764
1992.0, -39656.14105326594
1992.5, -41170.58219495607
1993.0, -42601.320853591715
1993.5, -43952.580234208894
1994.0, -45221.07903717743
1994.5, -46410.99294373817
1995.0, -47147.13295301521
1995.5, -47452.39420668297
1996.0, -47946.41336270357
1996.5, -48619.66664956399
1997.0, -49382.90516372775
1997.5, -50231.58870457933
1998.0, -51139.531877989466
1998.5, -52103.74474185035
1999.0, -53084.93109622719
1999.5, -54082.234544415776
2000.0, -53724.054366833116
2000.5, -52078.78142913855
2001.0, -50545.6863560421
2001.5, -49119.10921840701
2002.0, -47800.967081611794
2002.5, -46585.788862544396
2003.0, -45417.33956003357
2003.5, -44293.26146868645
2004.0, -43255.06437929585
2004.5, -42298.41516975295
2005.0, -41338.99369194294
2005.5, -40376.939820536696
2006.0, -39441.552065012096
2006.5, -38531.48498768714
2007.0, -37703.79241923085
2007.5, -36954.31815748667
2008.0, -36249.9500091123
2008.5, -35588.4121471779
2009.0, -34967.543571497365
2009.5, -34385.29231505404
2010.0, -33803.25282751308
2010.5, -33221.41442408325
2011.0, -32719.972612562873
2011.5, -32294.87098650616
2012.0, -31811.01219047425
2012.5, -31271.360814848733
2013.0, -30773.520371311628
2013.5, -30315.38129115552
2014.0, -29924.106136046634
2014.5, -29596.321289639272
2015.0, -29204.86915949574
2015.5, -28752.962075567622
2016.0, -28396.77017377322